
Hamiltonian Cycle



complete graph

2: 0.0s
3: 0.0s
4: 0.0s
5: 0.001s
6: 0.002s
7: 0.005s
8: 0.016s
9: 0.085s
10: 0.393s
11: 3.633s
12: 48.377s
13: 621.325s


sample graph of arbitrary size

2: 0.0s
3: 0.0s
4: 0.001s
5: 0.003s
6: 0.0s
7: 0.0s
8: 0.001s
9: 0.002s
10: 0.001s
11: 0.002s
12: 0.005s
13: 0.008s
14: 0.014s
15: 0.031s
16: 0.034s
17: 0.05s
18: 0.065s
19: 0.161s
20: 0.292s
21: 0.404s
22: 0.763s
23: 1.425s
24: 2.798s
25: 5.017s
26: 9.428s
27: 17.834s
28: 33.121s
29: 61.554s
30: 113.814s
31: 212.497s
32: 386.352s
33: 811.787s



Eulerian Cycle:


complete graph

2: 0.005
3: 0.007
4: 0.0
5: 0.0
6: 0.001
7: 0.001
8: 0.001
9: 0.001
10: 0.001
11: 0.002
12: 0.002
13: 0.002
14: 0.001
15: 0.001
16: 0.002
17: 0.002
18: 0.002
19: 0.002
20: 0.002
21: 0.004
22: 0.003
23: 0.002
24: 0.004
25: 0.008
26: 0.009
27: 0.006
28: 0.005
29: 0.005
30: 0.007
31: 0.01
32: 0.018
33: 0.021
34: 0.009
35: 0.01
36: 0.011
37: 0.013
38: 0.028
39: 0.043
40: 0.016
41: 0.017
42: 0.019
43: 0.021
44: 0.03
45: 0.071
46: 0.028
47: 0.031
48: 0.033
49: 0.035
50: 0.039
51: 0.044
52: 0.048
53: 0.055
54: 0.054
55: 0.056
56: 0.057
57: 0.063
58: 0.066
59: 0.074
60: 0.079
61: 0.083
62: 0.086
63: 0.092
64: 0.1
65: 0.104


doubly linked list

10: 0.01
20: 0.001
30: 0.003
40: 0.001
50: 0.003
60: 0.001
70: 0.001
80: 0.001
90: 0.002
100: 0.001
110: 0.002
120: 0.002
130: 0.002
140: 0.001
150: 0.001
160: 0.001
170: 0.002
180: 0.003
190: 0.002
200: 0.002
210: 0.002
220: 0.002
230: 0.005
240: 0.006
250: 0.006
260: 0.007
270: 0.002
280: 0.003
290: 0.003
300: 0.002
310: 0.005
320: 0.003
330: 0.005
340: 0.003
350: 0.008
360: 0.011
370: 0.012
380: 0.009
390: 0.006
400: 0.009
410: 0.036
420: 0.012
430: 0.014
440: 0.012
450: 0.008
460: 0.009
470: 0.016
480: 0.02
490: 0.022
500: 0.02
510: 0.009
520: 0.008
530: 0.009
540: 0.011
550: 0.01
560: 0.011
570: 0.01
580: 0.01
590: 0.011
600: 0.012
610: 0.026
620: 0.031
630: 0.03
640: 0.012
650: 0.013
660: 0.014
670: 0.013
680: 0.014
690: 0.015
700: 0.015
710: 0.015
720: 0.014
730: 0.016
740: 0.032
750: 0.045
760: 0.048
770: 0.035
780: 0.018
790: 0.021
800: 0.02
810: 0.018
820: 0.02
830: 0.027
840: 0.032
850: 0.027
860: 0.021
870: 0.023
880: 0.024
890: 0.022
900: 0.026
910: 0.025
920: 0.039
930: 0.027
940: 0.03
950: 0.035
960: 0.036
970: 0.025
980: 0.028
990: 0.027
1000: 0.031
1010: 0.028
1020: 0.028
1030: 0.03
1040: 0.033
1050: 0.026
